strategic_segment,customers,total_revenue,avg_revenue_per_customer,customer_share_%,revenue_contribution_%,efficiency_index,cumulative_revenue_%
Premium Core,63,3410965.3,54142.306349206345,12.5,25.999916778077047,2.079993342246164,25.999916778077047
Incentive Driven High Value,63,3318882.0,52680.666666666664,12.5,25.298016311176752,2.02384130489414,51.2979330892538
Discount Dependent,189,3212867.8000000003,16999.300529100532,37.5,24.489928237898962,0.653064753010639,75.78786132715277
Low Engagement,189,3176424.2,16806.47724867725,37.5,24.212138672847235,0.6456570312759262,100.0
